"user_id","play_duration","day"
5295,3.70613297410113,1
8357,5.59195506272848,1
137,4.91113502239606,1
8085,7.5488695900068,1
5987,5.3685666683712,1
8015,4.35280720607081,1
8245,4.19043439407326,1
3906,6.72052735961492,1
5038,5.41947527083862,1
7274,5.55779169106083,1
8062,4.71070875188735,1
4744,3.4135323137339,1
1688,5.91756390208477,1
8107,3.85246151574631,1
5564,4.65299998316368,1
5746,4.7103315874406,1
8489,4.77539266255158,1
8164,5.21172469739572,1
2272,5.11632750594762,1
671,4.4569652077218,1
2255,5.6994421616331,1
3732,5.27427151270106,1
2313,4.34905719084681,1
1729,6.05134078546357,1
9924,5.4953958775621,1
3176,3.20431638090127,1
1800,3.13009552629877,1
4341,2.92493955049051,1
919,4.10575181357346,1
4997,3.55070615107631,1
622,6.12417856374072,1
2997,4.29353920779666,1
2593,6.75462177950193,1
2537,4.98761082598478,1
3501,4.54286119151969,1
3504,4.54826632543538,1
1059,4.21264971734891,1
5262,4.57870151273023,1
7433,4.20201337482842,1
6721,6.15668992268077,1
374,3.95503160214678,1
4050,4.77821259772548,1
3556,6.21154146133816,1
6408,4.13701661721733,1
1685,5.91394745575483,1
4584,4.0071759381188,1
1039,6.29249778506185,1
409,5.66982441252427,1
2529,5.46217209017955,1
9904,6.04373790453599,1
4230,4.83761580353651,1
8,4.66605395430188,1
7647,5.65158151235265,1
7108,4.96061073307811,1
1543,3.11055211772138,1
8257,4.14233922724107,1
9507,5.80063783062322,1
9962,3.66686412419147,1
8021,4.62745809280274,1
290,5.89636533631584,1
1356,5.10400819244072,1
8097,4.91932895968911,1
97,5.16838423394752,1
5725,5.49212953296782,1
5992,4.45228530218701,1
5897,4.62713684734259,1
9460,5.37331099186031,1
4579,5.04765851052276,1
7639,4.5983268288607,1
3524,5.64502143923619,1
1914,5.15187481653669,1
9879,4.1175991887861,1
6961,4.35844655498152,1
2506,4.9862181809256,1
1941,4.06126923309889,1
2812,3.99280391340899,1
3777,4.40002172636521,1
4742,2.72939024488514,1
1767,5.38372574121375,1
440,4.37563782035244,1
1884,3.94046215511566,1
882,4.26421212887254,1
1744,6.99584607674534,1
5614,4.73006809286272,1
7047,3.2713502420377,1
646,3.94499345905268,1
5750,4.38890183494657,1
7863,4.129515894396,1
7845,7.43681102394147,1
8690,4.48413813391825,1
771,6.35872167976098,1
3057,4.67750542112364,1
2864,2.93087124154199,1
2002,4.86243264602093,1
9985,4.99198263299035,1
5774,5.13656095490875,1
837,4.08718620436308,1
2490,4.24640731838724,1
897,5.96603780202272,1
2480,5.26005570120345,1
2486,5.25829283165184,1
5152,6.01607501235672,1
1509,5.11767151590842,1
9122,6.15205389460749,1
5652,3.78906202239334,1
1148,4.71490571287514,1
3350,5.66569461030551,1
5843,4.82663273289451,1
3702,4.84322339180337,1
9548,2.59956479628497,1
1842,3.83672620676912,1
7338,3.4402578725755,1
661,5.10008863890671,1
9609,3.54028792505924,1
510,4.45923594145092,1
7014,4.3883128974988,1
1299,4.97160504410832,1
3856,2.96082886005644,1
9943,5.24799137864369,1
4934,3.89875332691043,1
6619,6.9755583755485,1
9492,4.8061446516595,1
397,6.13099341946681,1
5681,6.10156480299041,1
287,4.81088276828711,1
