index,city,is_within_two_years,num_rating,rating_location,rating_service,rating_facility,POI_firm,POI_school,POI_travel,room,price
1,C2,0,307,4.51644728847419,4.61406427869858,4.31173136714809,167,144,229,business,1307.0
2,C1,0,322,4.37521195085926,4.55691438235249,4.6387560307902,120,32,195,business,689.0
3,C2,0,185,4.30530724126228,4.53632357573045,4.65264883660139,121,75,178,business,1276.0
4,C2,1,470,4.33556954449706,4.59636742183124,4.13211227281055,209,164,14,standard,763.0
5,C2,0,328,4.58244159790317,4.4149626336781,4.69479015931829,32,98,126,business,1090.0
6,C2,0,402,4.37337816995079,4.37696485060191,4.4687059789208,220,179,200,business,835.0
7,C3,0,301,4.59230077318422,4.55745152648083,4.51745956642335,251,251,221,standard,615.0
8,C2,0,91,4.41093720691455,4.40915031834281,4.23124045386599,218,179,135,business,892.0
9,C2,0,579,4.21511201014773,4.47194052663035,4.63283534644405,7,104,17,luxury,1517.0
10,C2,0,103,4.3281220337725,4.52716707484363,4.52823360161043,31,75,235,luxury,1747.0
11,C3,0,184,4.39914535575797,4.58570692889567,4.34655650814867,71,4,158,standard,688.0
12,C1,0,463,4.38481149563024,4.48789623409523,4.31734305272412,127,229,64,luxury,1249.0
13,C3,0,594,4.54343156476675,4.64628325867854,4.46662372414524,49,193,181,standard,637.0
14,C2,0,551,4.47773382448782,4.56271939784729,4.21522391579739,183,227,50,luxury,1598.0
15,C3,0,270,4.25400285466773,4.44664857035633,4.48213808858143,33,140,95,luxury,1390.0
16,C1,0,591,4.2738069490294,4.54473638721826,4.534711295326,242,201,28,standard,359.0
17,C2,1,566,4.14218920252084,4.45416764264574,4.34247755346751,165,184,54,standard,967.0
18,C2,1,296,4.35023667765578,4.53291620623169,4.33533665654998,160,145,215,luxury,1728.0
19,C2,1,40,4.36957382735313,4.71569719373656,4.5546112388459,153,168,143,standard,950.0
20,C3,0,247,4.27953046813531,4.3803603788669,4.45670188186767,96,157,240,business,1011.0
21,C2,1,516,4.40362135613441,4.51029883637591,4.47485425965529,11,192,85,standard,963.0
22,C2,0,285,4.50567242145282,4.50523982916449,4.3854700433799,2,47,176,luxury,1558.0
23,C3,0,184,4.34701501407748,4.58932845537483,4.23284807295178,11,247,184,standard,715.0
24,C2,0,546,4.27710214163814,4.34160484130146,4.55897829768363,81,117,197,luxury,1730.0
25,C2,0,306,4.27784528719865,4.50180912546062,4.37967002155526,51,60,84,luxury,1487.0
26,C1,0,466,4.28845790598553,4.37426379520501,4.33323351949334,46,73,98,luxury,1180.0
